;1;2
1;0;0.255
2;0;0.663
3;0;0.725
4;0;0.769
5;0;0.813
6;0.01;0.839
7;0.205;0.819
8;0.53;0.807
9;0.65;0.93
10;0.722;0.913
11;0.716;0.821
12;0.712;0.656
13;0.595;0.472
14;0.363;0.356
15;0.179;0.297
16;0.05;0.307
17;0;0.394
18;0;0.522
19;0;0.597
20;0;0.615
21;0;0.633
22;0;0.601
23;0;0.578
24;0;0.556
25;0;0.566
26;0;0.59
27;0;0.629
28;0;0.69
29;0;0.766
30;0.05;0.807
31;0.367;0.802
32;0.584;0.791
33;0.723;0.945
34;0.803;0.94
35;0.833;0.895
36;0.805;0.82
37;0.707;0.712
38;0.584;0.615
39;0.416;0.571
40;0.156;0.62
41;0;0.675
42;0;0.701
43;0;0.739
44;0;0.764
45;0;0.779
46;0;0.808
47;0;0.809
48;0;0.806
49;0;0.803
50;0;0.799
51;0;0.788
52;0;0.773
53;0;0.768
54;0.019;0.77
55;0.193;0.777
56;0.424;0.788
57;0.627;0.884
58;0.75;0.882
59;0.81;0.839
60;0.77;0.753
61;0.615;0.595
62;0.406;0.407
63;0.215;0.305
64;0.058;0.315
65;0;0.367
66;0;0.501
67;0;0.58
68;0;0.608
69;0;0.63
70;0;0.642
71;0;0.625
72;0;0.591
73;0;0.517
74;0;0.436
75;0;0.389
76;0;0.376
77;0;0.381
78;0.032;0.43
79;0.275;0.457
80;0.497;0.357
81;0.631;0.289
82;0.71;0.127
83;0.764;0.021
84;0.745;0.015
85;0.686;0.008
86;0.567;0.022
87;0.363;0.055
88;0.117;0.087
89;0;0.101
90;0;0.134
91;0;0.149
92;0;0.141
93;0;0.119
94;0;0.076
95;0;0.106
96;0;0.364
97;0;0.66
98;0;0.762
99;0;0.798
100;0;0.788
101;0;0.792
102;0.041;0.813
103;0.326;0.822
104;0.549;0.786
105;0.692;0.86
106;0.774;0.792
107;0.806;0.598
108;0.79;0.345
109;0.725;0.124
110;0.604;0.065
111;0.415;0.039
112;0.162;0.037
113;0;0.182
114;0;0.532
115;0;0.738
116;0;0.837
117;0;0.845
118;0;0.871
119;0;0.889
120;0;0.898
121;0;0.907
122;0;0.921
123;0;0.933
124;0;0.939
125;0;0.939
126;0.018;0.939
127;0.155;0.936
128;0.322;0.96
129;0.501;0.983
130;0.64;0.975
131;0.714;0.951
132;0.726;0.907
133;0.613;0.843
134;0.434;0.778
135;0.24;0.744
136;0.078;0.762
137;0;0.803
138;0;0.856
139;0;0.878
140;0;0.905
141;0;0.926
142;0;0.928
143;0;0.927
144;0;0.919
145;0;0.915
146;0;0.907
147;0;0.889
148;0;0.885
149;0;0.881
150;0.056;0.882
151;0.378;0.888
152;0.592;0.897
153;0.736;0.963
154;0.814;0.952
155;0.84;0.897
156;0.819;0.782
157;0.754;0.615
158;0.629;0.459
159;0.441;0.352
160;0.173;0.323
161;0;0.39
162;0;0.557
163;0;0.684
164;0;0.772
165;0;0.816
166;0;0.829
167;0;0.81
168;0;0.812
169;0;0.823
170;0;0.824
171;0;0.839
172;0;0.851
173;0;0.844
174;0.057;0.86
175;0.378;0.865
176;0.593;0.809
177;0.732;0.911
178;0.811;0.916
179;0.837;0.874
180;0.816;0.785
181;0.751;0.69
182;0.628;0.624
183;0.44;0.574
184;0.174;0.572
185;0;0.633
186;0;0.773
187;0;0.839
188;0;0.866
189;0;0.887
190;0;0.904
191;0;0.908
192;0;0.899
193;0;0.894
194;0;0.891
195;0;0.89
196;0;0.889
197;0;0.886
198;0.053;0.886
199;0.366;0.884
200;0.58;0.873
201;0.714;0.953
202;0.746;0.954
203;0.73;0.925
204;0.642;0.858
205;0.438;0.765
206;0.235;0.692
207;0.149;0.635
208;0.097;0.567
209;0;0.488
210;0;0.603
211;0;0.711
212;0;0.726
213;0;0.698
214;0;0.714
215;0;0.754
216;0;0.759
217;0;0.751
218;0;0.73
219;0;0.713
220;0;0.707
221;0;0.695
222;0.055;0.704
223;0.364;0.716
224;0.577;0.601
225;0.717;0.568
226;0.794;0.498
227;0.822;0.379
228;0.805;0.259
229;0.738;0.181
230;0.616;0.113
231;0.401;0.085
232;0.12;0.084
233;0;0.141
234;0;0.256
235;0;0.358
236;0;0.508
237;0;0.657
238;0;0.739
239;0;0.76
240;0;0.766
241;0;0.785
242;0;0.798
243;0;0.796
244;0;0.793
245;0;0.785
246;0.044;0.789
247;0.31;0.797
248;0.545;0.663
249;0.683;0.566
250;0.765;0.457
251;0.772;0.302
252;0.73;0.153
253;0.692;0.02
254;0.564;0.002
255;0.367;0.002
256;0.157;0.004
257;0;0.008
258;0;0.006
259;0;0.002
260;0;0
261;0;0
262;0;0.011
263;0;0.051
264;0;0.088
265;0;0.099
266;0;0.082
267;0;0.057
268;0;0.046
269;0;0.068
270;0.038;0.111
271;0.302;0.146
272;0.524;0.128
