;1
0;11.579
1;12.674
2;12.152
3;11.632
4;10.651
5;10.731
6;10.825
7;12.216
8;15.151
9;17.757
10;19.660
11;21.032
12;22.025
13;22.394
14;21.948
15;20.936
16;19.205
17;16.351
18;15.013
19;13.845
20;13.233
21;12.898
22;12.712
23;12.470
24;12.179
25;11.809
26;11.336
27;10.799
28;10.029
29;9.237
30;8.953
31;11.045
32;14.150
33;16.585
34;18.382
35;19.811
36;20.835
37;21.289
38;21.096
39;20.238
40;18.355
41;15.380
42;13.851
43;12.793
44;12.096
45;11.529
46;10.877
47;10.258
48;9.746
49;9.264
50;9.031
51;8.772
52;8.700
53;8.780
54;8.891
55;10.451
56;13.137
57;15.745
58;17.773
59;19.431
60;20.628
61;21.159
62;21.044
63;20.379
64;18.874
65;16.240
66;15.100
67;14.018
68;13.128
69;12.427
70;11.952
71;11.752
72;11.729
73;11.717
74;11.555
75;11.164
76;10.753
77;10.380
78;10.496
79;13.666
80;17.096
81;20.209
82;22.640
83;24.561
84;26.225
85;27.171
86;27.314
87;26.722
88;24.348
89;20.863
90;19.620
91;18.641
92;17.733
93;17.263
94;16.457
95;15.152
96;14.375
97;13.715
98;13.176
99;12.734
100;12.475
101;12.208
102;12.122
103;14.398
104;17.800
105;20.760
106;22.951
107;24.654
108;25.804
109;26.367
110;26.274
111;25.472
112;22.786
113;18.404
114;16.690
115;15.289
116;14.043
117;13.047
118;12.273
119;11.751
120;11.286
121;10.657
122;10.012
123;9.528
124;9.183
125;8.895
126;8.801
127;10.143
128;12.475
129;14.831
130;16.852
131;18.590
132;20.006
133;20.658
134;20.527
135;19.640
136;17.750
137;15.140
138;13.730
139;12.887
140;12.304
141;11.674
142;10.778
143;9.863
144;9.077
145;8.385
146;7.727
147;7.211
148;6.765
149;6.392
150;6.305
151;8.367
152;11.624
153;14.414
154;16.803
155;18.828
156;20.370
157;21.234
158;21.368
159;20.632
160;18.371
161;14.277
162;12.820
163;11.936
164;11.152
165;10.554
166;9.968
167;9.496
168;9.102
169;8.667
170;8.314
171;7.990
172;7.436
173;7.107
174;7.148
175;9.409
176;13.084
177;15.967
178;18.116
179;19.878
180;21.164
181;21.852
182;21.944
183;21.284
184;19.154
185;15.454
186;13.864
187;12.624
188;11.800
189;11.156
190;10.580
191;10.026
192;9.383
193;8.865
194;8.466
195;8.075
196;7.724
197;7.323
198;7.244
199;9.367
200;12.765
201;15.454
202;17.352
203;18.781
204;19.714
205;19.839
206;19.362
207;18.762
208;17.433
209;14.108
210;12.954
211;12.477
212;12.099
213;11.344
214;11.313
215;11.210
216;11.263
217;11.185
218;10.302
219;9.791
220;9.411
221;9.148
222;9.348
223;12.369
224;15.809
225;19.006
226;21.636
227;23.641
228;25.092
229;25.881
230;26.016
231;25.297
232;22.063
233;17.748
234;16.384
235;15.448
236;15.129
237;15.187
238;14.930
239;14.497
240;14.088
241;13.608
242;13.356
243;13.346
244;12.657
245;11.956
246;12.220
247;14.968
248;18.308
249;21.503
250;24.137
251;26.141
252;27.438
253;28.263
254;28.417
255;27.845
256;25.325
257;22.555
258;21.804
259;21.162
260;20.313
261;18.930
262;17.463
263;16.494
264;16.088
265;16.169
266;16.454
267;16.419
268;15.908
269;15.330
270;15.237
271;18.132
272;21.318
273;24.557
274;27.190
275;29.509
276;30.766
277;31.334
278;31.325
279;30.685
280;27.931
281;24.389
282;23.231
283;22.295
284;20.064
285;18.302
286;17.311
287;16.878
288;15.704
289;14.671
290;13.984
291;13.421
292;13.017
293;12.497
294;12.036
295;12.997
296;15.133
297;17.367
298;19.254
299;20.884
300;22.259
301;23.059
302;23.007
303;22.099
304;20.019
305;16.850
306;15.128
307;13.898
308;13.026
309;12.377
310;11.705
311;11.029
312;10.390
313;9.802
314;9.281
315;8.796
316;8.302
317;7.816
318;7.727
319;9.962
320;13.264
321;15.851
322;17.871
323;19.569
324;20.891
325;21.610
326;21.727
327;21.120
328;18.815
329;14.238
330;12.840
331;11.779
332;10.894
333;10.133
334;9.565
335;9.107
336;8.705
337;8.252
338;7.688
339;7.158
340;6.733
341;6.370
342;6.587
343;9.980
344;13.778
345;17.141
346;19.701
347;21.577
348;22.808
349;23.456
350;23.519
351;22.867
352;20.120
353;15.435
354;14.149
355;12.992
356;11.358
357;10.610
358;10.078
359;9.449
360;8.886
361;8.375
362;7.944
363;7.560
364;7.208
365;6.895
366;7.087
367;10.140
368;13.878
369;16.942
370;19.199
371;20.813
372;21.905
373;22.467
374;22.401
375;21.548
376;19.234
377;15.330
378;13.685
379;12.653
380;11.880
381;11.216
382;10.506
383;9.900
384;9.468
385;9.108
386;8.747
387;8.396
388;8.025
389;7.571
390;7.387
391;9.603
392;13.278
393;16.403
394;18.908
395;20.910
396;22.365
397;23.267
398;23.423
399;22.775
400;20.324
401;15.266
402;13.843
403;12.988
404;12.338
405;11.787
406;11.378
407;10.987
408;10.582
409;10.158
410;9.734
411;9.241
412;8.764
413;8.390
414;8.619
415;11.938
416;15.691
417;18.933
418;21.565
419;23.612
420;25.043
421;25.804
422;25.903
423;25.190
424;22.183
425;16.988
426;15.405
427;14.375
428;13.581
429;13.061
430;12.642
431;12.242
432;11.857
433;11.500
434;11.150
435;10.815
436;10.496
437;10.203
438;10.583
439;14.282
440;17.966
441;21.042
442;23.418
443;25.120
444;26.349
445;26.979
446;26.934
447;26.038
448;22.993
449;17.898
450;16.572
451;16.033
452;15.543
453;15.274
454;15.099
455;14.376
456;13.818
457;13.671
458;13.538
459;13.370
460;13.177
461;12.906
462;13.224
463;16.987
464;20.445
465;23.787
466;26.618
467;28.617
468;29.893
469;30.457
470;30.415
471;29.760
472;27.089
473;22.698
474;21.105
475;19.958
476;18.976
477;18.201
478;17.653
479;17.284
480;16.995
481;16.702
482;16.356
483;15.961
484;15.522
485;15.331
486;15.427
487;18.484
488;21.805
489;24.807
490;27.240
491;28.837
492;29.758
493;30.117
494;29.917
495;29.070
496;26.077
497;21.281
498;19.682
499;18.498
500;17.461
501;16.719
502;16.313
503;15.983
504;15.535
505;15.072
506;14.682
507;14.327
508;13.987
509;13.679
510;14.005
511;17.288
512;20.500
513;23.293
514;25.773
515;27.689
516;29.083
517;29.852
518;29.899
519;29.267
520;26.695
521;22.149
522;20.501
523;19.559
524;19.119
525;18.797
526;18.188
527;17.202
528;16.147
529;15.452
530;15.137
531;15.019
532;15.048
533;15.214
534;16.010
535;20.502
536;24.344
537;27.657
538;29.575
539;30.749
540;31.433
541;31.648
542;31.328
543;30.434
544;28.330
545;24.415
546;22.693
547;21.537
548;20.525
549;19.659
550;18.810
551;18.027
552;17.688
553;17.366
554;16.803
555;16.307
556;15.924
557;15.742
558;15.737
559;19.178
560;21.695
561;23.777
562;26.023
563;28.087
564;29.561
565;30.294
566;30.392
567;29.830
568;27.642
569;22.995
570;21.258
571;19.923
572;18.716
573;17.817
574;17.242
575;16.709
576;16.203
577;15.784
578;15.495
579;15.446
580;15.517
581;15.460
582;16.181
583;19.735
584;22.926
585;26.451
586;28.761
587;30.142
588;30.959
589;31.181
590;30.837
591;29.822
592;27.568
593;23.747
